--- Courses with invalid hours (NULL or 0) ---
Found 332 unschedulable courses:
  [SOZ152] Türkiye’nin Toplumsal Yapısı: T=0, U=0, L=0
  [SOZ161] Mesleki Almanca I: T=0, U=0, L=0
  [SOZ162] Mesleki Almanca II: T=0, U=0, L=0
  [SOZ201] Sosyoloji Kuramları I: T=0, U=0, L=0
  [SOZ202] Sosyoloji Kuramları II: T=0, U=0, L=0
  [SOZ215] Toplum Bilimlerinde Nitel Araştırma Yöntemleri: T=0, U=0, L=0
  [SOZ216] Toplum Bilimlerinde Nicel Araştırma Yöntemleri: T=0, U=0, L=0
  [SOZ217] İstatistik: T=0, U=0, L=0
  [SOZ218] Toplumsal Yapılar ve Değişim: T=0, U=0, L=0
  [SOZ222] Toplumsal Cinsiyet Sosyolojisi: T=0, U=0, L=0
  [SOZ231] Göç Sosyolojisi: T=0, U=0, L=0
  [SOZ241] Kent Sosyolojisi: T=0, U=0, L=0
  [SOZ261] Mesleki Almanca III: T=0, U=0, L=0
  [SOZ262] Mesleki Almanca IV: T=0, U=0, L=0
  [SOZ311] İleri Araştırma Yöntemleri I: T=0, U=0, L=0
  [SOZ312] İleri Araştırma Yöntemleri II: T=0, U=0, L=0
  [SOZ361] Mesleki Almanca V: T=0, U=0, L=0
  [SOZ362] Mesleki Almanca VI: T=0, U=0, L=0
  [SOZ419] Staj: T=0, U=0, L=0
  [SOZ421] Türk-Alman İlişkileri: T=0, U=0, L=0
  [SOZ431] Türkiye Sosyoloji Tarihi: T=0, U=0, L=0
  [SOZ437] Araştırma Semineri: T=0, U=0, L=0
  [SOZSDI] Seçmeli Ders: T=0, U=0, L=0
  [SOZSDII] Seçmeli Ders: T=0, U=0, L=0
  [SOZSDIII] Seçmeli Ders: T=0, U=0, L=0
  [SOZSDIV] Seçmeli Ders: T=0, U=0, L=0
  [SUP] Zorunlu Seçmeli - Uygulamalı Proje / Applied Project: T=0, U=0, L=0
  [TUR001] Türk Dili I: T=0, U=0, L=0
  [TUR001] Türkçe 1: T=0, U=0, L=0
  [TUR002] Türk Dili II: T=0, U=0, L=0
  [TUR002] Türkçe 2: T=0, U=0, L=0
  [USD000] Üniversite Seçmeli Ders Havuzu / University Elective Pool: T=0, U=0, L=0
  [USD000] Üniversite Seçmeli Ders Havuzu: T=0, U=0, L=0
  [USD000] University Elective / Üniversite Seçmeli: T=0, U=0, L=0
  [USD001] Üniversite Seçmeli Ders Havuzu I: T=0, U=0, L=0
  [USD002] Üniversite Seçmeli Ders Havuzu II: T=0, U=0, L=0
  [VWL101] İktisada Giriş 1: T=0, U=0, L=0
  [VWL102] İktisada Giriş 2: T=0, U=0, L=0
  [VWL103] Matematik 1: T=0, U=0, L=0
  [VWL104] Matematik 2: T=0, U=0, L=0
  [VWL105] İstatistik 1: T=0, U=0, L=0
  [VWL106] İstatistik 2: T=0, U=0, L=0
